Date,Time,Category,Qty,Price Point Name,SKU,Gross Sales,Discounts,Customer ID,Cost,Margin,Gender,Age,State
8/9/18,13:10:19,Furniture,1,Regular,1109,$298.99 ,$0.00 ,S0Q2DVVJW55BCZEN1Q8MA4APVC,80.95,73%,Male,18-25,NC
6/15/18,13:02:06,Furniture,1,Regular,1184,$270.00 ,$0.00 ,M90BSKQPTD7MRJHDHD7DD8T6CG,80.95,70%,Female,26-35,NC
4/7/18,13:41:01,Furniture,1,,260,$240.00 ,$0.00 ,AAAPTRXCWD2FYVE6Y2K7WJRKDR,80.95,66%,Female,36-45,NC
10/13/17,18:23:13,Furniture,1,,401,$225.00 ,$0.00 ,CY4R1654M966EJCJN5X1B6K10G,80.95,64%,Female,46-55,NC
3/2/18,11:48:33,Furniture,1,Regular,953,$205.00 ,$0.00 ,N55H0JCHJN428N7Z8T98XP32KR,80.95,61%,Female,56-64,NC
8/11/18,14:35:56,Furniture,1,Regular,1503,$170.99 ,($25.65),Y38TDM5A1H0W4VX0N3X5AW9VJG,80.95,53%,Male,64+,NC
8/22/18,18:15:21,Furniture,1,Regular,951,$170.00 ,$0.00 ,E78N7D4NQ96Y6HVQ18M0R406D4,80.95,52%,Male,18-25,NC
11/25/17,13:45:08,Furniture,1,,424,$160.00 ,($32.00),QG9TTGPK59458YTHYD5A121G6C,80.95,49%,Female,26-35,NC
11/18/17,17:34:58,Vintage Clothing,1,,114,$160.00 ,$0.00 ,GQFWFVAEM95D0N1BB6Z8FVXNH8,80.95,49%,Female,18-25,NC
4/12/18,15:31:28,Furniture,1,,196,$159.99 ,$0.00 ,6REFVR7EDX5GTVSMP6CBMSSDP8,71.25,55%,Female,26-35,SC
7/13/18,17:08:13,Furniture,1,Regular,1400,$140.00 ,$0.00 ,VABF294Y0H0CV6CR6DEC499KDC,71.25,49%,Female,36-45,SC
10/12/17,18:50:14,Antiques,1,,256,$140.00 ,$0.00 ,KXM5N2W6RS0P6Y8N8V8QMP0FYG,71.25,49%,Male,18-25,SC
9/20/18,13:43:57,Antiques,1,Regular,1651,$135.00 ,$0.00 ,6E38BNBX8S3RH2R8TNZEQCRDT4,71.25,47%,Male,26-35,TN
5/26/18,14:02:53,Antiques,1,Regular,1071,$135.00 ,$0.00 ,JM9K6PY1TD0TMQ9BK16RZ19HZ0,71.25,47%,Female,36-45,VA
1/23/18,14:41:37,Furniture,1,Regular,771,$135.00 ,$0.00 ,YMTX6FZ6N15TCYG3N6479WJJV8,71.25,47%,Female,46-55,VA
9/29/18,14:35:10,Furniture,1,,1494,$132.00 ,$0.00 ,DBVSKP9QJ54ZCTG2E5SN49C99M,71.25,46%,Female,18-25,VA
8/2/18,12:36:34,Antiques,1,Regular,1475,$120.00 ,$0.00 ,0B4T8D28X537KDYXW4402XVQ5G,71.25,41%,Female,26-35,GA
6/29/18,16:25:25,Furniture,1,,280,$112.99 ,$0.00 ,WGKMWF4C716TTWPT2N6P7HWPYG,71.25,37%,Male,36-45,GA
7/20/18,17:35:50,Furniture,1,Regular,1396,$112.50 ,($16.88),A2W0MMP30N1BJW71APV4M6KB2R,71.25,37%,Male,46-55,GA
7/13/18,15:17:24,Furniture,1,Regular,1396,$112.50 ,$0.00 ,1M6XB51RX53SPM6RC63XEG1CGG,71.25,37%,Male,56-64,GA
7/17/18,14:28:28,Furniture,1,Regular,1349,$110.00 ,($16.50),9D6DARVHJX61GVMM0AF13XBGJW,71.25,35%,Female,18-25,FL
6/9/18,14:09:20,Antiques,1,Regular,1161,$110.00 ,($11.00),9D6DARVHJX61GVMM0AF13XBGJW,71.25,35%,Female,18-25,FL
9/22/18,12:11:44,Handmade - Textiles,4,,492,$103.96 ,($20.79),FZ3D14G0GD1RJXFYAWFZD1GMC4,71.25,31%,Female,26-35,FL
